frame_number,center_x,center_y
88,270.0,256.0
89,255.0,268.0
90,257.0,264.3333333333333
91,255.33333333333334,265.3333333333333
92,262.0,258.6666666666667
93,263.6666666666667,259.3333333333333
94,275.3333333333333,268.6666666666667
95,274.0,266.0
96,268.6666666666667,264.6666666666667
97,252.66666666666666,253.0
98,254.0,252.66666666666666
99,271.3333333333333,260.6666666666667
100,271.0,259.0
101,269.3333333333333,258.6666666666667
102,252.33333333333334,248.66666666666666
103,253.33333333333334,250.66666666666666
104,267.0,259.6666666666667
105,264.6666666666667,258.3333333333333
6,263.6666666666667,255.66666666666666
7,255.5,251.33333333333334
8,252.16666666666666,250.33333333333334
9,251.83333333333334,250.0
10,242.66666666666666,243.33333333333334
11,246.0,244.66666666666666
12,250.66666666666666,247.66666666666666
13,243.66666666666666,245.33333333333334
14,244.33333333333334,244.0
15,238.0,241.33333333333334
16,245.33333333333334,243.66666666666666
17,248.33333333333334,246.66666666666666
18,235.33333333333334,244.0
19,235.0,243.33333333333334
20,231.0,241.66666666666666
21,244.0,245.66666666666666
22,245.0,248.0
23,226.33333333333334,243.66666666666666
24,227.33333333333334,245.0
25,224.66666666666666,247.0
26,242.66666666666666,254.0
27,241.66666666666666,253.33333333333334
28,218.33333333333334,244.33333333333334
29,220.0,242.66666666666666
30,218.0,242.0
31,243.0,249.0
32,243.0,249.66666666666666
33,214.33333333333334,240.0
34,214.33333333333334,240.66666666666666
35,211.33333333333334,240.0
36,241.0,249.66666666666666
37,241.0,249.0
38,203.33333333333334,234.0
39,203.0,232.66666666666666
40,199.33333333333334,232.0
41,239.0,246.66666666666666
42,240.0,247.33333333333334
43,204.66666666666666,239.33333333333334
44,203.0,239.66666666666666
45,199.33333333333334,241.66666666666666
46,237.33333333333334,250.33333333333334
47,238.66666666666666,251.33333333333334
48,272.6666666666667,261.3333333333333
49,270.0,256.6666666666667
50,270.0,257.0
51,238.0,246.33333333333334
52,242.33333333333334,251.0
53,271.6666666666667,262.6666666666667
54,263.6666666666667,256.0
55,259.6666666666667,258.3333333333333
56,229.33333333333334,246.33333333333334
57,237.33333333333334,252.66666666666666
188,239.66666666666666,251.33333333333334
189,238.0,252.0
190,242.33333333333334,254.66666666666666
191,208.66666666666666,253.33333333333334
192,209.66666666666666,253.0
193,205.0,251.33333333333334
194,235.66666666666666,253.33333333333334
195,237.33333333333334,253.66666666666666
196,244.66666666666666,265.3333333333333
197,246.33333333333334,265.3333333333333
198,244.33333333333334,266.0
199,236.0,255.0
200,238.0,255.66666666666666
201,250.0,269.3333333333333
202,251.66666666666666,269.6666666666667
203,250.33333333333334,269.6666666666667
204,238.33333333333334,256.3333333333333
205,238.66666666666666,257.3333333333333
106,238.66666666666666,259.0
107,239.0,262.0
108,239.0,264.0
109,252.0,272.0
110,247.66666666666666,271.3333333333333
111,247.0,272.0
112,232.66666666666666,265.0
113,236.66666666666666,265.6666666666667
114,245.66666666666666,268.3333333333333
115,239.66666666666666,267.3333333333333
116,239.33333333333334,266.6666666666667
117,228.33333333333334,262.3333333333333
