frame_number,center_x,center_y
88,270.62334633325685,256.09978588361247
89,247.148459636293,262.0381538215189
90,254.6109552363736,259.24324779919647
91,259.8817454169521,258.89349415453876
92,260.08724642019365,259.3488265184659
93,263.2631882736161,259.2233835243239
94,276.5346519948439,269.95334517983025
95,266.6470110842309,261.50923478649753
96,257.6582787805599,258.1159947092749
97,255.20662096118747,254.86270855970457
98,257.75313738763305,252.88980341897692
99,277.12319547777145,263.4158788842793
100,264.3666995573348,255.47058806379687
101,259.82121398138753,252.44759380235925
102,255.58202468939595,250.58990911630892
103,254.69683956198276,251.79648765497922
104,273.2358454971707,262.5206090437793
105,259.2751320640835,254.40414637883057
6,255.21811686802275,249.61026718514822
7,262.8447072905108,255.59169945187074
8,249.48631608125245,249.19168109626298
9,250.14189181669204,246.47817609043122
10,247.33803282884588,244.96145035204887
11,245.95068408866706,245.33663917018293
12,254.41766283627263,248.3936665892228
13,240.7055712789375,243.12372902822565
14,243.80336181663708,242.45095128913974
15,244.6117341274255,243.46610821639405
16,245.00871933355344,243.60446609063342
17,250.1093896764881,246.7762631027889
18,231.13287855043572,242.68704985192647
19,237.96368580610022,242.3614847820591
20,240.53452830840862,243.94421639705735
21,242.86599075027829,245.86533014801003
22,244.8889136002524,247.38836259985004
23,221.32723333895535,241.77666781491507
24,234.70768784625392,246.9521409099715
25,236.78927694844762,250.72722007973087
26,239.11158771192802,252.1912321363942
27,242.22567655083583,251.54492991559556
28,212.71719401507772,241.6948210740345
29,229.45150081280576,245.3223742245405
30,234.38160534747269,246.85839835433734
31,239.68661144209307,247.7059419505992
32,243.09854863857376,249.0738101382094
33,208.23234924067907,237.08898759570747
34,226.35713581809026,244.01305494238352
35,232.0993459873328,246.180660839423
36,237.5423974013267,247.29582863807866
37,240.81565046227018,248.21002971069043
38,198.79457029743355,229.58355414641574
39,219.99552118604828,237.16246053021172
40,226.81852083550518,241.7420496635889
41,235.41447965386223,244.50578402801094
42,240.0272659812997,245.6378236297241
43,221.32834009492905,233.78796042308807
44,230.2721755075009,241.5823514657257
45,231.69279173403243,247.05992545777886
46,236.77003010619228,248.04715718188544
47,239.73701757415267,249.72228726566914
48,274.70322047144657,262.1154683672807
49,255.73882029903754,251.17578255208065
50,249.15034217673997,251.44493983219317
51,243.73880865314823,250.96026297803414
52,245.14444917395008,250.1044426976449
53,282.78639824128936,266.08481534395366
54,252.77027045003697,252.9054151632675
55,243.90277785407073,253.5005848905988
56,241.5172977958528,252.72556222319506
57,240.26070555599986,251.45859067077288
188,240.7881046401518,251.8437984587706
189,237.26066678855227,252.6987160496535
190,244.43237715215858,255.30179306560007
191,210.81470538108675,246.9423647597697
192,224.18356394438308,249.71858184930682
193,231.39571564164058,251.36587377159526
194,231.80243911607283,252.3944950418209
195,237.04296764815004,252.96951702126316
196,241.55784587803498,264.9522954993174
197,239.5253856595038,259.43091771215757
198,237.91895046377925,257.70067937913615
199,236.66630126319527,256.01120835317903
200,239.90607255155965,256.0273342783428
201,251.5075709117082,272.91364776629894
202,246.12156679360083,264.7130603122413
203,242.8696587180022,260.2992389635256
204,239.61805317727521,258.27861368306554
205,240.62824451760858,258.47917462937426
106,240.259609026455,259.410746165674
107,238.7815835706927,262.5239099314449
108,239.87863943442147,263.7233212645524
109,257.3957981264216,272.82356165348597
110,241.53391854919954,269.03650860717653
111,240.27859902130103,267.71565575977706
112,237.73942670366415,265.7307307939586
113,236.86937127329082,265.8734960637804
114,250.3753763418045,269.66623308652606
115,234.6267107183234,265.7081712217535
116,235.2688286647939,264.73263933132785
117,234.15136674318495,263.3800325355412
